,word,frequency,decade,count,freq_entropy
424800,testy,7.471781380734621e-07,1850,20.0,0.7331051691445291
1908819,testy,4.937811555334927e-07,1930,20.0,0.7331051691445291
574516,testy,6.720458711629821e-07,1860,20.0,0.7331051691445291
3036290,testy,1.033134140938424e-06,1970,20.0,0.7331051691445291
754791,testy,2.53858110172592e-07,1870,20.0,0.7331051691445291
3946364,testy,1.0683674405972775e-06,2000,20.0,0.7331051691445291
3645668,testy,8.821253249020247e-07,1990,20.0,0.7331051691445291
1084714,testy,4.649788183549087e-07,1890,20.0,0.7331051691445291
902,testy,9.898371035318412e-05,1810,20.0,0.7331051691445291
3345616,testy,7.025780320242874e-07,1980,20.0,0.7331051691445291
1658882,testy,5.158029117074366e-07,1920,20.0,0.7331051691445291
1462329,testy,5.806429002615174e-07,1910,20.0,0.7331051691445291
1266214,testy,3.877939192448463e-07,1900,20.0,0.7331051691445291
2759169,testy,4.888999344059255e-07,1960,20.0,0.7331051691445291
2186320,testy,4.911528433677155e-07,1940,20.0,0.7331051691445291
283597,testy,5.352907369186988e-07,1840,20.0,0.7331051691445291
52481,testy,1.2806055841517944e-06,1820,20.0,0.7331051691445291
139400,testy,1.3543799221017694e-06,1830,20.0,0.7331051691445291
2454118,testy,7.514746998837469e-07,1950,20.0,0.7331051691445291
896266,testy,1.4459556806188018e-06,1880,20.0,0.7331051691445291
1454722,doolittle,1.0368623218955669e-06,1910,20.0,0.7419455535929486
2770818,doolittle,2.851916284034565e-07,1960,20.0,0.7419455535929486
1280787,doolittle,2.1544106624713685e-07,1900,20.0,0.7419455535929486
68806,doolittle,2.845790187003988e-07,1820,20.0,0.7419455535929486
266891,doolittle,2.616976936046972e-06,1840,20.0,0.7419455535929486
1921642,doolittle,2.880390073945374e-07,1930,20.0,0.7419455535929486
1059861,doolittle,3.952319956016723e-06,1890,20.0,0.7419455535929486
1637680,doolittle,2.579014558537183e-06,1920,20.0,0.7419455535929486
149119,doolittle,5.702652303586398e-07,1830,20.0,0.7419455535929486
2161023,doolittle,3.233422885504127e-06,1940,20.0,0.7419455535929486
3672558,doolittle,2.7142317689293066e-07,1990,20.0,0.7419455535929486
3951587,doolittle,7.855642945568219e-07,2000,20.0,0.7419455535929486
3346160,doolittle,7.025780320242874e-07,1980,20.0,0.7419455535929486
427126,doolittle,6.322276552929295e-07,1850,20.0,0.7419455535929486
2447693,doolittle,1.146987699822561e-06,1950,20.0,0.7419455535929486
3059803,doolittle,3.306029251002956e-07,1970,20.0,0.7419455535929486
568415,doolittle,1.1200764519383036e-06,1860,20.0,0.7419455535929486
912945,doolittle,4.197935846957812e-07,1880,20.0,0.7419455535929486
644,doolittle,0.0001373825635074,1810,20.0,0.7419455535929486
735905,doolittle,1.015432440690368e-06,1870,20.0,0.7419455535929486
2773573,talleyrand,2.444499672029628e-07,1960,20.0,0.8144338080484458
48629,talleyrand,2.1343426402529907e-06,1820,20.0,0.8144338080484458
3694362,talleyrand,1.3571158844646533e-07,1990,20.0,0.8144338080484458
1243975,talleyrand,1.895881382974804e-06,1900,20.0,0.8144338080484458
739309,talleyrand,7.615743305177761e-07,1870,20.0,0.8144338080484458
986,talleyrand,9.21572475702059e-05,1810,20.0,0.8144338080484458
140963,talleyrand,1.2118136145121096e-06,1830,20.0,0.8144338080484458
2471629,talleyrand,3.164103999510513e-07,1950,20.0,0.8144338080484458
1643871,talleyrand,1.4737226048783903e-06,1920,20.0,0.8144338080484458
1086123,talleyrand,4.184809365194178e-07,1890,20.0,0.8144338080484458
417271,talleyrand,1.5518315175371904e-06,1850,20.0,0.8144338080484458
1448552,talleyrand,1.7419287007845523e-06,1910,20.0,0.8144338080484458
