,word,frequency,decade,count,freq_entropy
1135662,uv,8.1867605173912e-07,1900,18.0,0.5494313254377284
2412184,uv,7.910259998776283e-08,1950,18.0,0.5494313254377284
425887,uv,0.0002426645633124,1860,18.0,0.5494313254377284
1804029,uv,2.468905777667464e-07,1930,18.0,0.5494313254377284
36692,uv,3.564157689741499e-07,1830,18.0,0.5494313254377284
2707912,uv,8.148332240098757e-08,1960,18.0,0.5494313254377284
2083276,uv,2.4557642168385776e-07,1940,18.0,0.5494313254377284
761274,uv,1.4506200537820883e-05,1880,18.0,0.5494313254377284
3821174,uv,1.6339737326781894e-06,2000,18.0,0.5494313254377284
3220649,uv,9.758028222559546e-07,1980,18.0,0.5494313254377284
1546240,uv,3.684306512195976e-07,1920,18.0,0.5494313254377284
1343698,uv,5.806429002615174e-07,1910,18.0,0.5494313254377284
606186,uv,3.1478405661401413e-06,1870,18.0,0.5494313254377284
369763,uv,5.747524139026631e-08,1850,18.0,0.5494313254377284
208217,uv,5.947674854652209e-08,1840,18.0,0.5494313254377284
938874,uv,5.486750056587922e-06,1890,18.0,0.5494313254377284
3521244,uv,1.2553321931298045e-06,1990,18.0,0.5494313254377284
2927276,uv,6.198804845630543e-07,1970,18.0,0.5494313254377284
757992,beulah,5.6485559007399e-05,1880,18.0,1.0677546475937296
3883279,beulah,1.256902871290915e-07,2000,18.0,1.0677546475937296
455860,beulah,6.720458711629821e-07,1860,18.0,1.0677546475937296
3531655,beulah,6.785579422323267e-07,1990,18.0,1.0677546475937296
155100,beulah,1.249011719476964e-06,1840,18.0,1.0677546475937296
97980,beulah,7.128315379482999e-08,1830,18.0,1.0677546475937296
1324419,beulah,3.027637979935055e-06,1910,18.0,1.0677546475937296
1771672,beulah,1.6870856147394331e-06,1930,18.0,1.0677546475937296
2319161,beulah,2.4126292996267663e-06,1950,18.0,1.0677546475937296
624658,beulah,5.584878423797025e-07,1870,18.0,1.0677546475937296
1003589,beulah,9.299576367098175e-08,1890,18.0,1.0677546475937296
2075726,beulah,3.274352289118104e-07,1940,18.0,1.0677546475937296
329857,beulah,1.7242572417079894e-07,1850,18.0,1.0677546475937296
2909042,beulah,1.942292184964237e-06,1970,18.0,1.0677546475937296
2616519,beulah,2.3222746884281458e-06,1960,18.0,1.0677546475937296
3230929,beulah,5.854816933535728e-07,1980,18.0,1.0677546475937296
1166522,beulah,1.723528529977095e-07,1900,18.0,1.0677546475937296
